Date,Mkt-RF,SMB,HML,RF
20220112,0.12,-0.89,0.5,0
20220113,-1.57,0.31,2.41,0
20220114,0.08,0.18,0.54,0
20220118,-2.08,-1.04,1.37,0
20220119,-1.01,-0.33,-0.67,0
20220120,-1.14,-0.86,-0.23,0
20220121,-2.1,0.28,0.49,0
20220124,0.53,1.81,-0.25,0
20220125,-1.43,-0.61,2.79,0
20220126,-0.3,-1.08,0.1,0
20220127,-0.79,-1.64,0.78,0
20220128,2.45,-0.14,-2.07,0
20220131,2.34,1.31,-2.86,0
20220201,0.87,0.06,0.65,0
20220202,0.48,-1.74,0.72,0
20220203,-2.49,-0.05,2.18,0
20220204,0.89,-0.02,-0.6,0
20220207,-0.25,0.53,0.23,0
20220208,1.02,0.68,-0.28,0
20220209,1.61,0.23,-1.96,0
20220210,-1.69,-0.14,1.23,0
20220211,-1.92,0.6,2.13,0
20220214,-0.35,0.21,-0.59,0
20220215,1.87,1.33,-1.43,0
20220216,-0.02,-0.09,0.31,0
20220217,-2.28,-0.28,1.1,0
20220218,-0.87,-0.09,0.93,0
20220222,-1.18,-0.48,0.11,0
20220223,-1.96,-0.2,1.25,0
20220224,1.89,1.51,-3.86,0
20220225,2.23,-0.4,1.2,0
20220228,0.05,0.63,-0.5,0
20220301,-1.56,-0.1,-0.8,0
20220302,1.81,0.41,1.34,0
20220303,-0.88,-0.57,1.52,0
20220304,-1.1,-0.66,0.68,0
20220307,-3.12,0.58,0.89,0
20220308,-0.52,1.02,0.32,0
20220309,2.8,0.32,-2.1,0
20220310,-0.47,0.11,1.16,0
20220311,-1.49,-0.44,1.79,0
20220314,-1.06,-1.34,1.77,0
20220315,2.15,-0.12,-2.39,0
20220316,2.61,0.8,-1.84,0
20220317,1.43,0.3,-1.1,0
20220318,1.33,0.27,-1.85,0
20220321,-0.18,-1.11,1.59,0
20220322,1.31,0.04,-1.16,0
20220323,-1.26,-0.64,0.37,0
20220324,1.42,-0.09,-0.79,0
20220325,0.27,-0.59,2.18,0
20220328,0.73,-0.56,-1.69,0
20220329,1.45,1.54,-1.93,0
20220330,-0.83,-1.27,0.4,0
20220331,-1.55,0.72,-0.44,0
20220401,0.39,0.69,-0.59,0.001
20220404,0.94,-0.05,-1.88,0.001
20220405,-1.54,-0.97,0.84,0.001
20220406,-1.24,-0.65,1.08,0.001
20220407,0.33,-0.61,-0.13,0.001
20220408,-0.39,-0.99,2.24,0.001
20220411,-1.53,0.29,1.07,0.001
20220412,-0.29,0.54,0.46,0.001
20220413,1.4,0.93,-0.72,0.001
20220414,-1.28,0.03,1.41,0.001
20220418,-0.21,-0.81,1.81,0.001
20220419,1.77,0.59,-0.95,0.001
20220420,-0.28,0.19,1.26,0.001
20220421,-1.75,-0.72,0.42,0.001
20220422,-2.74,0.31,-0.15,0.001
20220425,0.71,0.42,-1.83,0.001
20220426,-3,-0.67,1.8,0.001
20220427,0.12,-0.61,0.34,0.001
20220428,2.44,-0.2,-0.44,0.001
20220429,-3.53,0.74,0.59,0.001
20220502,0.8,0.59,-1.15,0.001
20220503,0.41,-0.17,1.62,0.001
20220504,3,-0.46,0.24,0.001
20220505,-3.8,-0.78,2.37,0.001
20220506,-0.85,-1.3,1.77,0.001
20220509,-3.54,-0.51,1.38,0.001
20220510,0.2,-0.22,-1.22,0.001
20220511,-1.95,-1.11,2.59,0.001
20220512,0.17,1.28,-1.23,0.001
20220513,2.76,0.9,-2.21,0.001
20220516,-0.6,-0.2,1.34,0.001
20220517,2.14,0.96,-0.05,0.001
20220518,-4.04,0.21,1.54,0.001
20220519,-0.34,0.47,-0.8,0.001
20220520,-0.05,-0.12,-0.18,0.001
20220523,1.74,-1.07,1.29,0.001
20220524,-1.23,-0.95,1.86,0.001
20220525,1.22,0.79,0.21,0.001
